,0
0,7
1,2
2,4
3,6
4,3
5,9
6,6
7,9
8,5
9,0
10,4
11,4
12,2
13,8
14,3
15,2
16,0
17,9
18,9
19,3
20,1
21,3
22,3
23,9
24,5
25,8
26,7
27,8
28,5
29,7
30,0
31,2
32,4
33,2
34,5
35,9
36,6
37,8
38,9
39,6
40,0
41,9
42,5
43,8
44,8
45,6
46,1
47,4
48,0
49,3
50,5
51,4
52,6
53,6
54,1
55,3
56,9
57,4
58,8
59,6
60,7
61,4
62,8
63,3
64,1
65,2
66,1
67,6
68,5
69,2
70,1
71,3
72,3
73,2
74,2
75,1
76,0
77,8
78,5
79,7
80,2
81,6
82,8
83,3
84,3
85,6
86,0
87,3
88,6
89,3
90,6
91,5
92,9
93,6
94,6
95,0
96,0
97,1
98,1
99,0
100,5
101,3
102,6
103,2
104,9
105,5
106,3
107,5
108,8
109,4
110,0
111,1
112,8
113,5
114,8
115,5
116,9
117,9
118,1
119,1
120,2
121,3
122,8
123,4
124,9
125,5
126,3
127,5
128,1
129,7
130,2
131,5
132,6
133,9
134,0
135,2
136,7
137,4
138,1
139,0
140,9
141,3
142,1
143,8
144,4
145,7
146,7
147,0
148,4
149,8
150,0
151,2
152,2
153,6
154,7
155,0
156,5
157,3
158,1
159,5
160,0
161,0
162,3
163,4
164,8
165,8
166,2
167,8
168,9
169,1
170,0
171,5
172,8
173,6
174,1
175,1
176,7
177,9
178,3
179,2
180,0
181,8
182,1
183,9
184,1
185,2
186,1
187,4
188,1
189,1
190,1
191,7
192,8
193,2
194,5
195,4
196,6
197,5
198,6
199,8
200,3
201,9
202,8
203,6
204,8
205,5
206,3
207,0
208,7
209,9
210,2
211,2
212,1
213,4
214,3
215,6
216,4
217,8
218,8
219,6
220,3
221,7
222,2
223,9
224,2
225,2
226,1
227,6
228,0
229,3
230,1
231,4
232,9
233,2
234,3
235,2
236,8
237,7
238,9
239,6
240,8
241,4
242,3
243,3
244,9
245,8
246,0
247,6
248,0
249,7
250,0
251,6
252,8
253,3
254,5
255,8
256,0
257,2
258,3
259,8
260,7
261,8
262,1
263,3
264,7
265,4
266,6
267,9
268,6
269,1
270,9
271,7
272,8
273,2
274,1
275,7
276,4
277,5
278,9
279,4
280,7
281,9
282,9
283,0
284,3
285,4
286,2
287,9
288,5
289,1
290,3
291,2
292,4
293,3
294,0
295,6
296,5
297,4
298,2
299,4
300,2
301,7
302,2
303,4
304,8
305,4
306,5
307,1
308,6
309,9
310,9
311,4
312,1
313,3
314,5
315,7
316,3
317,4
318,2
319,7
320,4
321,9
322,2
323,4
324,1
325,5
326,6
327,3
328,4
329,2
330,3
331,4
332,0
333,7
334,8
335,6
336,2
337,0
338,6
339,4
340,2
341,8
342,0
343,4
344,6
345,1
346,7
347,1
348,5
349,9
350,4
351,7
352,7
353,9
354,3
355,8
356,8
357,6
358,1
359,7
360,1
361,6
362,0
363,0
364,0
365,1
366,6
367,7
368,2
369,0
370,2
371,6
372,5
373,0
374,2
375,7
376,0
377,8
378,6
379,2
380,3
381,7
382,2
383,1
384,7
385,4
386,1
387,3
388,5
389,3
390,5
391,1
392,9
393,4
394,2
395,8
396,9
397,6
398,7
399,9
400,9
401,2
402,1
403,0
404,5
405,4
406,8
407,0
408,1
409,2
410,7
411,9
412,1
413,7
414,8
415,0
416,8
417,2
418,0
419,4
420,9
421,0
422,9
423,7
424,9
425,5
426,1
427,9
428,2
429,0
430,6
431,1
432,6
433,0
434,5
435,5
436,1
437,6
438,9
439,8
440,1
441,8
442,0
443,5
444,1
445,4
446,9
447,2
448,0
449,2
450,8
451,7
452,8
453,8
454,3
455,7
456,8
457,6
458,2
459,0
460,5
461,7
462,8
463,2
464,5
465,4
466,0
467,7
468,9
469,3
470,9
471,4
472,4
473,2
474,7
475,4
476,0
477,1
478,0
479,4
480,5
481,1
482,6
483,8
484,5
485,7
486,8
487,6
488,6
489,7
490,4
491,3
492,7
493,6
494,6
495,7
496,6
497,9
498,8
499,5
500,8
501,4
502,1
503,5
504,2
505,2
506,0
507,1
508,1
509,3
510,7
511,2
512,8
513,7
514,3
515,2
516,8
517,8
518,0
519,2
520,4
521,8
522,2
523,5
524,4
525,9
526,7
527,1
528,7
529,7
530,9
531,6
532,5
533,6
534,8
535,4
536,3
537,3
538,5
539,1
540,1
541,5
542,6
543,3
544,3
545,1
546,0
547,2
548,4
549,6
550,9
551,4
552,5
553,7
554,1
555,2
556,3
557,0
558,4
559,3
560,5
561,7
562,2
563,2
564,7
565,5
566,0
567,9
568,9
569,7
570,3
571,4
572,0
573,6
574,3
575,2
576,3
577,6
578,9
579,5
580,0
581,9
582,7
583,7
584,6
585,5
586,0
587,3
588,8
589,2
590,9
591,2
592,4
593,2
594,4
595,6
596,6
597,3
598,3
599,6
600,6
601,0
602,2
603,9
604,7
605,5
606,6
607,3
608,4
609,3
610,1
611,6
612,5
613,8
614,2
615,5
616,4
617,9
618,5
619,8
620,1
621,2
622,1
623,1
624,4
625,3
626,3
627,6
628,9
629,8
630,9
631,9
632,6
633,8
634,1
635,1
636,0
637,0
638,7
639,7
640,7
641,0
642,6
643,4
644,2
645,0
646,8
647,5
648,0
649,2
650,9
651,7
652,0
653,1
654,2
655,4
656,3
657,8
658,6
659,6
660,6
661,2
662,4
663,1
664,4
665,0
666,2
667,6
668,5
669,7
670,3
671,9
672,5
673,3
674,1
675,0
676,0
677,7
678,4
679,0
680,5
681,3
682,7
683,6
684,4
685,6
686,5
687,8
688,7
689,0
690,2
691,4
692,9
693,3
694,9
695,8
696,8
697,0
698,9
699,4
700,1
701,9
702,4
703,7
704,3
705,6
706,5
707,5
708,2
709,7
710,3
711,6
712,9
713,7
714,1
715,4
716,8
717,1
718,8
719,7
720,9
721,5
722,6
723,4
724,8
725,3
726,4
727,5
728,5
729,2
730,4
731,5
732,3
733,5
734,4
735,9
736,0
737,0
738,1
739,5
740,9
741,4
742,8
743,7
744,7
745,3
746,8
747,6
748,3
749,7
750,0
751,9
752,1
753,0
754,3
755,2
756,3
757,9
758,4
759,3
760,8
761,0
762,7
763,8
764,4
765,1
766,9
767,2
768,6
769,9
770,0
771,1
772,3
773,9
774,3
775,7
776,3
777,9
778,6
779,2
780,6
781,9
782,4
783,5
784,0
785,2
786,6
787,4
788,0
789,5
790,9
791,3
792,1
793,4
794,5
795,8
796,9
797,4
798,9
799,2
800,8
801,8
802,6
803,5
804,3
805,4
806,3
807,4
808,1
809,6
810,4
811,4
812,4
813,9
814,1
815,1
816,3
817,6
818,1
819,0
820,5
821,9
822,8
823,3
824,0
825,1
826,9
827,1
828,6
829,6
830,6
831,0
832,1
833,9
834,2
835,6
836,4
837,1
838,5
839,8
840,7
841,2
842,3
843,3
844,4
845,8
846,3
847,9
848,7
849,1
850,0
851,7
852,9
853,3
854,8
855,8
856,2
857,4
858,8
859,8
860,7
861,5
862,0
863,7
864,4
865,1
866,1
867,7
868,2
869,3
870,7
871,5
872,1
873,9
874,9
875,0
876,9
877,7
878,3
879,8
880,0
881,6
882,0
883,5
884,2
885,0
886,6
887,0
888,1
889,3
890,1
891,5
892,6
893,0
894,5
895,5
896,7
897,6
898,0
899,2
900,9
901,7
902,7
903,3
904,9
905,1
906,8
907,7
908,3
909,7
910,2
911,9
912,6
913,7
914,7
915,8
916,1
917,1
918,0
919,1
920,8
921,0
922,6
923,7
924,1
925,5
926,5
927,6
928,9
929,6
930,4
931,0
932,1
933,6
934,4
935,0
936,4
937,3
938,1
939,0
940,0
941,9
942,9
943,8
944,5
945,4
946,7
947,3
948,4
949,5
950,9
951,7
952,9
953,1
954,6
955,5
956,9
957,6
958,8
959,3
960,5
961,0
962,1
963,9
964,1
965,4
966,1
967,8
968,5
969,6
970,3
971,4
972,1
973,2
974,4
975,3
976,9
977,1
978,8
979,9
980,5
981,3
982,0
983,0
984,6
985,7
986,0
987,1
988,5
989,6
990,8
991,5
992,6
993,3
994,3
995,3
996,4
997,8
998,6
999,2
1000,2
1001,5
1002,1
1003,7
1004,4
1005,6
1006,5
1007,2
1008,0
1009,1
1010,7
1011,0
1012,8
1013,8
1014,0
1015,3
1016,7
1017,0
1018,3
1019,4
1020,7
1021,9
1022,6
1023,2
1024,4
1025,7
1026,7
1027,2
1028,8
1029,8
1030,7
1031,3
1032,0
1033,3
1034,9
1035,5
1036,5
1037,3
